time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.8833613487547867e-09,-1.3432789344586819e-09,0.06996070862250078,6.283184892091622,6.2831847250376605,0.0,1.8842780053386887e-07,-1.3437449053018475e-07,2.3303825220065972,-2.0760301391505744e-05,-2.9117403304694063e-05,0.0,900.000809277385,899.9996311929056,899.9992600799897,899.9984201209586
0.12000000000000001,9.396913120974793e-08,-6.666479722023174e-08,0.27907823901423706,6.2831832745457525,6.283182307390355,0.0,3.7650563027215398e-06,-2.6506405242042117e-06,4.63391161411398,-3.936164996651799e-05,-6.266067470818425e-05,0.0,900.0004240302987,899.9990674526363,899.9983797847293,899.9976276039305
0.18,6.369625307643286e-07,-4.3902451877225365e-07,0.6248188783927646,6.283180036208277,6.283177907615322,0.0,1.6001387949155488e-05,-1.0905460214307372e-05,6.880143238070876,-8.321450572726427e-05,-9.467952763206336e-05,0.0,900.0006497471985,899.999355539071,899.9998399900396,899.9980663635187
0.23999999999999996,2.297882389667648e-06,-1.6090134270497243e-06,1.1029000192661764,6.28317417723798,6.283171961762612,0.0,4.159557262056504e-05,-3.020190726055341e-05,9.041442290954729,-0.00012654001505412222,-0.00010793654132221263,0.0,900.000557880862,900.0000235959593,899.9999396187665,899.9981882291746
0.3,5.9527926657523795e-06,-4.4220995313957826e-06,1.7074994342315586,6.283165765141337,6.2831654426558785,0.0,8.250436175588836e-05,-6.645601464122495e-05,11.094286470067678,-0.00016754344909919526,-0.00011008254487378365,0.0,899.999959862998,899.9998755316327,900.0000161497239,899.9983596281093
0.36000000000000004,1.2500862556786967e-05,-1.0039095497424204e-05,2.431530497336373,6.283154111737472,6.283160343860516,0.0,0.00013750928325843948,-0.0001243577923335166,13.020147627128761,-0.000247645866368556,-3.481331285300359e-05,0.0,899.997958605302,900.0010076420054,900.0012561644737,899.9980179887849
0.4200000000000001,2.256924797445629e-05,-1.994055984167296e-05,3.2669561823318705,6.283137929659601,6.283159696671557,0.0,0.0001980387368994222,-0.00021036898042189772,14.805900856241392,-0.00031385626483477667,3.723224714518224e-05,0.0,899.9974961670091,900.0004131482563,900.0011321905305,899.9984579821471
0.48000000000000015,3.614724025210469e-05,-3.598981760966321e-05,4.205114366786119,6.283119067403771,6.283163862032367,0.0,0.00025295955833433344,-0.0003296295112162419,16.443799587224092,-0.00031540048255398627,0.00013373717013199355,0.0,899.9969617387119,900.0008672871595,900.0005951822383,900.0005399832087
0.5400000000000001,5.2579822946390015e-05,-6.0152326170388234e-05,5.237029504966271,6.283100539165428,6.283173311364951,0.0,0.0002916926910361652,-0.00047992939537711574,17.93106045567845,-0.0002956119390789509,0.0002049583605110765,0.0,899.9970932643869,899.9999732480355,900.0003236470286,900.0011320575902
0.6000000000000002,7.065034647288174e-05,-9.409096782135862e-05,6.353691658465759,6.2830829603321305,1.2503780979500334e-06,0.0,0.00030684347587692766,-0.0006544227053914153,19.26920717759651,-0.0002877173977844307,0.0002523797725319899,0.0,899.9976360151151,899.9995509865109,900.0009359906196,900.001262479479
0.6600000000000003,8.884049715362488e-05,-0.00013906252222068452,7.546290493876953,6.283065932740644,1.8676818578811094e-05,0.0,0.00029533275896003006,-0.000846905090258682,20.46324267048656,-0.0002759445546163686,0.00036646753882707116,0.0,899.9957202078542,900.000333128243,900.0008832832707,900.001366617132
0.7200000000000003,0.00010542732042212426,-0.000195993378481179,8.806398664281947,6.283048631680408,4.116275697807481e-05,0.0,0.00025264784237012813,-0.0010524739648040842,21.520803384942038,-0.00031317991921542,0.00039135965821675305,0.0,899.998133717927,899.9991329663392,900.0029606642701,900.0014595950217
0.7800000000000004,0.00011849245057125204,-0.00026560376002957253,10.126103882107511,6.283028543991044,6.429541177688236e-05,0.0,0.00017849418660807382,-0.0012696616091161215,22.45130569846536,-0.0003780675283049295,0.0003739088103350601,0.0,899.9986262030303,899.9979105412104,900.0016345142357,899.9990146872628
0.8400000000000004,0.00012629234247430493,-0.000348633451404659,11.498094601651031,6.28300490894895,8.647823871399396e-05,0.0,7.804649911613722e-05,-0.0015001006257409453,23.265258009851387,-0.00042564166627032346,0.000361320898243509,0.0,899.9997628482429,899.9992444615191,900.0004153018525,899.9984978997338
0.9000000000000005,0.00012741662404832998,-0.0004459236329515923,12.915705811666086,6.282977665641912,0.00010850958323871396,0.0,-4.338072977213734e-05,-0.0017451725046228282,23.973622972900497,-0.0005109530203450328,0.00037892500103565405,0.0,899.9989172988116,899.9996216550308,900.0020264117135,899.9985820929639
0.9600000000000005,0.00012070822995590623,-0.0005584118299392984,14.372931493383323,6.282944891137156,0.00012969248171224024,0.0,-0.00018261346252626342,-0.0020071995732494057,24.58734356615672,-0.0006169256551693224,0.0003012351185310693,0.0,900.000410114858,899.997255562101,900.0017042129056,899.9974251900098
1.0200000000000005,0.0001052454557418389,-0.0006872251790330985,15.864412745474972,6.282905255146538,0.00014608874215493728,0.0,-0.000334084851640015,-0.0022899693853577607,25.11700400212385,-0.0007481075537140782,0.00021727366850251542,0.0,900.0001903046209,899.9967835467744,900.0010233785125,899.9957259341091
1.0800000000000005,8.050495396493777e-05,-0.0008337433718333659,17.385408510567046,6.282858633687354,0.00015797751894375267,0.0,-0.0004909843660141098,-0.002598019037410073,25.57258655902155,-0.0008349312077301636,0.00015985687966447193,0.0,899.9986450275776,899.996315013047,899.9999297181823,899.9964313394026
